Rank,GeonameID,City,Population,AsciiName,isoCode,Country,Modified,Coordinates
1,1796236,Shanghai,22315474,Shanghai,CN,China,2021-09-20,"31.22222,121.45806"
2,1816670,Beijing,18960744,Beijing,CN,China,2022-03-07,"39.9075,116.39723"
3,1795565,Shenzhen,17494398,Shenzhen,CN,China,2022-03-09,"22.54554,114.0683"
4,1809858,Guangzhou,16096724,Guangzhou,CN,China,2022-03-09,"23.11667,113.25"
5,2332459,Lagos,15388000,Lagos,NG,Nigeria,2022-04-01,"6.45407,3.39467"
6,745044,Istanbul,14804116,Istanbul,TR,Turkey,2022-03-09,"41.01384,28.94966"
7,1815286,Chengdu,13568357,Chengdu,CN,China,2021-12-13,"30.66667,104.06667"
8,3435910,Buenos Aires,13076300,Buenos Aires,AR,Argentina,2022-03-09,"-34.61315,-58.37723"
9,1275339,Mumbai,12691836,Mumbai,IN,India,2022-03-03,"19.07283,72.88261"
10,3530597,Mexico City,12294193,Mexico City,MX,Mexico,2021-07-25,"19.42847,-99.12766"
11,1174872,Karachi,11624219,Karachi,PK,Pakistan,2022-03-07,"24.8608,67.0104"
12,1792947,Tianjin,11090314,Tianjin,CN,China,2021-09-20,"39.14222,117.17667"
13,1273294,Delhi,10927986,Delhi,IN,India,2022-03-09,"28.65195,77.23149"
14,1791247,Wuhan,10392693,Wuhan,CN,China,2021-12-13,"30.58333,114.26667"
